EB,Material:NoMass Typical Insulation R-0.58 3,0.9
EC,Material:NoMass Typical Insulation R-0.58 4,0.7
ED,Material:NoMass Typical Insulation R-0.58 5,0.7
EE,Material:NoMass Typical Insulation R-27.78 2,4.89189838823363
EF,Material:NoMass Typical Insulation R-27.78 3,0.9
EG,Material:NoMass Typical Insulation R-27.78 4,0.7
EH,Material:NoMass Typical Insulation R-27.78 5,0.7
EI,Material:NoMass Typical Insulation R-5.89 2,1.03652198288505
EJ,Material:NoMass Typical Insulation R-5.89 3,0.9
EK,Material:NoMass Typical Insulation R-5.89 4,0.7
EL,Material:NoMass Typical Insulation R-5.89 5,0.7
EM,People FullServiceRestaurant Dining People 5,0.753473729169681
EN,People FullServiceRestaurant Kitchen People 5,0.0538195520835486
EO,PlantLoop Main Service Water Loop 5,60.0
EP,PlantLoop Main Service Water Loop 6,10.0
EQ,PlantLoop Service Water Loop 5,100.0
ER,PlantLoop Service Water Loop 6,0.0
ES,Pump:ConstantSpeed Booster Water Loop Pump 4,0.0
ET,Pump:ConstantSpeed Booster Water Loop Pump 6,1.0
EU,Pump:ConstantSpeed Service Water Loop Pump 4,29891.0
EV,Pump:ConstantSpeed Service Water Loop Pump 6,0.825
EW,Refrigeration:Case Kitchen ZN Display Case 3,23.8888888888889
EX,Refrigeration:Case Kitchen ZN Display Case 4,55.0
EY,Refrigeration:Case Kitchen ZN Display Case 5,734.0
EZ,Refrigeration:Case Kitchen ZN Display Case 6,0.08
FA,Refrigeration:Case Kitchen ZN Display Case 7,0.85
FB,Refrigeration:Case Kitchen ZN Display Case 8,3.05
FC,Refrigeration:Case Kitchen ZN Display Case 9,2.00000000000006
FD,Refrigeration:Case Kitchen ZN Display Case 12,66.0
FE,Refrigeration:Case Kitchen ZN Display Case 13,66.0
FF,Refrigeration:Case Kitchen ZN Display Case 14,33.0
FG,Refrigeration:Case Kitchen ZN Display Case 24,0.0
FH,Refrigeration:Case Kitchen ZN Walkin Freezer 3,23.8888888888889
FI,Refrigeration:Case Kitchen ZN Walkin Freezer 4,55.0
FJ,Refrigeration:Case Kitchen ZN Walkin Freezer 5,688.0
FK,Refrigeration:Case Kitchen ZN Walkin Freezer 6,0.1
FL,Refrigeration:Case Kitchen ZN Walkin Freezer 7,0.4
FM,Refrigeration:Case Kitchen ZN Walkin Freezer 8,2.44
FN,Refrigeration:Case Kitchen ZN Walkin Freezer 9,-23.0
FO,Refrigeration:Case Kitchen ZN Walkin Freezer 12,74.0
FP,Refrigeration:Case Kitchen ZN Walkin Freezer 13,74.0
FQ,Refrigeration:Case Kitchen ZN Walkin Freezer 14,33.0
FR,Refrigeration:Case Kitchen ZN Walkin Freezer 24,820.0
FS,Refrigeration:Condenser:AirCooled Refrigeration Condenser Air Cooled 1 4,330.0
FT,Refrigeration:Condenser:AirCooled Refrigeration Condenser Air Cooled 2 4,330.0
FU,Schedule:Day:Interval RestaurantSitDown CLGSETP_KITCHEN_SCH_NO_SETBACK Default 4,26.0
FV,Schedule:Day:Interval RestaurantSitDown CLGSETP_KITCHEN_SCH_NO_SETBACK Default|Sat|Wkdy Day 4,26.0
FW,Schedule:Day:Interval RestaurantSitDown CLGSETP_KITCHEN_SCH_NO_SETBACK Summer Design Day 4,26.0
FX,Schedule:Day:Interval RestaurantSitDown CLGSETP_KITCHEN_SCH_NO_SETBACK Summer Design Day 6,30.0
FY,Schedule:Day:Interval RestaurantSitDown CLGSETP_KITCHEN_SCH_NO_SETBACK Summer Design Day 8,28.0
FZ,Schedule:Day:Interval RestaurantSitDown CLGSETP_KITCHEN_SCH_NO_SETBACK Summer Design Day 10,26.0
GA,Schedule:Day:Interval RestaurantSitDown CLGSETP_KITCHEN_SCH_NO_SETBACK Winter Design Day 4,30.0
GB,Schedule:Day:Interval RestaurantSitDown CLGSETP_SCH_NO_SETBACK Default 4,24.0
GC,Schedule:Day:Interval RestaurantSitDown CLGSETP_SCH_NO_SETBACK Default|Sat|Wkdy Day 4,24.0
GD,Schedule:Day:Interval RestaurantSitDown CLGSETP_SCH_NO_SETBACK Summer Design Day 4,30.0
GE,Schedule:Day:Interval RestaurantSitDown CLGSETP_SCH_NO_SETBACK Summer Design Day 6,26.0
GF,Schedule:Day:Interval RestaurantSitDown CLGSETP_SCH_NO_SETBACK Summer Design Day 8,24.0
GG,Schedule:Day:Interval RestaurantSitDown CLGSETP_SCH_NO_SETBACK Winter Design Day 4,30.0
GH,Schedule:Day:Interval RestaurantSitDown HTGSETP_KITCHEN_SCH_NO_OPTIMUM Default 4,19.0
GI,Schedule:Day:Interval RestaurantSitDown HTGSETP_KITCHEN_SCH_NO_OPTIMUM Default 6,15.6
GJ,Schedule:Day:Interval RestaurantSitDown HTGSETP_KITCHEN_SCH_NO_OPTIMUM Default 8,19.0
GK,Schedule:Day:Interval RestaurantSitDown HTGSETP_KITCHEN_SCH_NO_OPTIMUM Default|Sat|Wkdy Day 4,19.0
GL,Schedule:Day:Interval RestaurantSitDown HTGSETP_KITCHEN_SCH_NO_OPTIMUM Default|Sat|Wkdy Day 6,15.6
GM,Schedule:Day:Interval RestaurantSitDown HTGSETP_KITCHEN_SCH_NO_OPTIMUM Default|Sat|Wkdy Day 8,19.0
GN,Schedule:Day:Interval RestaurantSitDown HTGSETP_KITCHEN_SCH_NO_OPTIMUM Summer Design Day 4,15.6
GO,Schedule:Day:Interval RestaurantSitDown HTGSETP_KITCHEN_SCH_NO_OPTIMUM Winter Design Day 4,19.0
GP,Schedule:Day:Interval RestaurantSitDown HTGSETP_SCH_NO_OPTIMUM Default 4,15.6
GQ,Schedule:Day:Interval RestaurantSitDown HTGSETP_SCH_NO_OPTIMUM Default 6,21.0
GR,Schedule:Day:Interval RestaurantSitDown HTGSETP_SCH_NO_OPTIMUM Default|Sat|Wkdy Day 4,15.6
GS,Schedule:Day:Interval RestaurantSitDown HTGSETP_SCH_NO_OPTIMUM Default|Sat|Wkdy Day 6,21.0
GT,Schedule:Day:Interval RestaurantSitDown HTGSETP_SCH_NO_OPTIMUM Summer Design Day 4,15.6
GU,Schedule:Day:Interval RestaurantSitDown HTGSETP_SCH_NO_OPTIMUM Winter Design Day 4,21.0
GV,Sizing:Parameters  0,1.2
GW,Sizing:Parameters  1,1.2
GX,Sizing:System Dining ZN PSZ-AC 4,7.0
GY,Sizing:System Dining ZN PSZ-AC 5,0.008
GZ,Sizing:System Dining ZN PSZ-AC 6,12.8
HA,Sizing:System Dining ZN PSZ-AC 7,0.008
HB,Sizing:System Dining ZN PSZ-AC 8,12.8
HC,Sizing:System Dining ZN PSZ-AC 9,40.0
HD,Sizing:System Dining ZN PSZ-AC 13,0.0085
HE,Sizing:System Dining ZN PSZ-AC 14,0.008
HF,Sizing:System Dining ZN PSZ-AC 17,0.0099676501
HG,Sizing:System Dining ZN PSZ-AC 18,1.0
HH,Sizing:System Dining ZN PSZ-AC 19,3.9475456e-05
HI,Sizing:System Dining ZN PSZ-AC 22,0.0099676501
HJ,Sizing:System Dining ZN PSZ-AC 23,1.0
HK,Sizing:System Dining ZN PSZ-AC 24,1.0
HL,Sizing:System Dining ZN PSZ-AC 25,3.1588213e-05
HM,Sizing:System Dining ZN PSZ-AC 27,1.0
HN,Sizing:System Dining ZN PSZ-AC 30,234.7
HO,Sizing:System Dining ZN PSZ-AC 31,1.0
HP,Sizing:System Dining ZN PSZ-AC 34,157.0
HQ,Sizing:System Dining ZN PSZ-AC 35,1.0
HR,Sizing:System Kitchen ZN PSZ-AC 4,7.0
HS,Sizing:System Kitchen ZN PSZ-AC 5,0.008
HT,Sizing:System Kitchen ZN PSZ-AC 6,12.8
HU,Sizing:System Kitchen ZN PSZ-AC 7,0.008
HV,Sizing:System Kitchen ZN PSZ-AC 8,12.8
HW,Sizing:System Kitchen ZN PSZ-AC 9,40.0
HX,Sizing:System Kitchen ZN PSZ-AC 13,0.0085
HY,Sizing:System Kitchen ZN PSZ-AC 14,0.008
HZ,Sizing:System Kitchen ZN PSZ-AC 17,0.0099676501
IA,Sizing:System Kitchen ZN PSZ-AC 18,1.0
IB,Sizing:System Kitchen ZN PSZ-AC 19,3.9475456e-05
IC,Sizing:System Kitchen ZN PSZ-AC 22,0.0099676501
ID,Sizing:System Kitchen ZN PSZ-AC 23,1.0
IE,Sizing:System Kitchen ZN PSZ-AC 24,1.0
IF,Sizing:System Kitchen ZN PSZ-AC 25,3.1588213e-05
IG,Sizing:System Kitchen ZN PSZ-AC 27,1.0
IH,Sizing:System Kitchen ZN PSZ-AC 30,234.7
II,Sizing:System Kitchen ZN PSZ-AC 31,1.0
